Tappy output 
inp/elgar/q00_0428-0531_filter_abs.dat
 lat= 34.54305   lon1= -77.34241
 =======================================================
#        NAME        SPEED            H        PHASE
#        ====        =====            =        =====
           Mm   0.54437471       0.3062     137.5297
          MSf   1.01589575       0.4155      78.9176
          2Q1  12.85428619       0.0790      50.6812
           Q1  13.39866090       0.0706      36.5891
           O1  13.94303561       0.0409      32.3605
          NO1  14.49669393       0.0790     261.5047
           K1  15.04106864       0.0507     185.0969
           J1  15.58544335       0.0688     239.3879
          OO1  16.13910167       0.0800     336.7434
         ups1  16.68347638       0.0792     316.0507
         MNS2  27.42383378       0.0144     205.2357
          mu2  27.96820849       0.0309     232.0397
           N2  28.43972954       0.0736     215.0436
           M2  28.98410425       0.2728     246.8554
           L2  29.52847895       0.0157     230.8909
           S2  30.00000000       0.0310     264.3231
         eta2  30.62651199       0.0050     348.7655
         2SM2  31.01589575       0.0111     162.1706
          MO3  42.92713985       0.0243     102.1613
           M3  43.47615637       0.0283     219.9720
          MK3  44.02517289       0.0222     348.8339
          SK3  45.04106864       0.0268     270.7360
          MN4  57.42383378       0.0111      83.3702
           M4  57.96820849       0.0185     110.3963
          SN4  58.43972954       0.0015     275.5715
          MS4  58.98410425       0.0041     186.2468
           S4  60.00000000       0.0029     258.7936
         2MN6  86.40793803       0.0064     199.7669
           M6  86.95231274       0.0088     191.4205
         2MS6  87.96820849       0.0072     164.7455
         2SM6  88.98410425       0.0060      97.7500
           S6  90.00000000       0.0009     337.3399
           M8 115.93641698       0.0063     353.8798

# INFERRED CONSTITUENTS
#        NAME        SPEED            H        PHASE
#        ====        =====            =        =====
         rho1  13.47151456       0.0016     322.0173
           M1  14.49205212       0.0029     251.7899
           P1  14.95893136       0.0168     234.1673
          2N2  27.89535483       0.0071      49.6091
          nu2  28.51258320       0.0104     287.2379
      lambda2  29.45562529       0.0019     287.1821
           T2  29.95893332       0.0018      68.2274
           R2  30.04106668       0.0002     114.7160
           K2  30.08213728       0.0084     271.0859
